team,id,o,os,d,ds,h,hs
Arminia Bielefeld,1,0.1939442928181769,0.21219705655485116,-0.10795024878235705,0.21937952615495304,0.16946487073234656,0.06943821459688222
Bochum,2,-0.13319971224747654,0.22906748542403166,0.06820509671564437,0.22605090254611263,0.16946487073234656,0.06943821459688222
Darmstadt 98,3,0.10994606157546899,0.21873254223227634,-0.06097062643083092,0.22003229569606525,0.16946487073234656,0.06943821459688222
Dynamo Dresden,4,0.004992789178249337,0.2236186938351068,-0.1807243548460978,0.21379628090764324,0.16946487073234656,0.06943821459688222
Magdeburg,5,-0.08,0.23320698244275642,-0.08,0.2222452711837235,0.16946487073234656,0.06943821459688222
Erzgebirge Aue,6,-0.17834215063704484,0.2320490408035953,-0.13190705416043533,0.21593916599890478,0.16946487073234656,0.06943821459688222
Hamburger SV,7,0.12,0.20911878305712917,0.12,0.22155890005201911,0.16946487073234656,0.06943821459688222
Greuther Fürth,8,-0.12297611027222667,0.2281741829920286,-0.11435442556266841,0.2162399525771352,0.16946487073234656,0.06943821459688222
Heidenheim,9,0.1838289999241359,0.2145656926381486,-0.2831709513565515,0.2113015280355329,0.16946487073234656,0.06943821459688222
Holstein Kiel,10,0.5215697078976401,0.20131759047463788,-0.0681246082719905,0.22148236046478587,0.16946487073234656,0.06943821459688222
Ingolstadt,11,0.10908253380317415,0.21881933817915245,-0.06079467554653317,0.21891807674821268,0.16946487073234656,0.06943821459688222
Jahn Regensburg,12,0.2383150269511685,0.211936821684821,-0.2326478528467579,0.2124309864719824,0.16946487073234656,0.06943821459688222
Paderborn,13,-0.12,0.22368823549816547,-0.12,0.21082434637684866,0.16946487073234656,0.06943821459688222
MSV Duisburg,14,0.224554466307359,0.2134093207764732,-0.285085202927806,0.21094578078336576,0.16946487073234656,0.06943821459688222
Köln,15,0.21,0.20719418405629333,0.21,0.22581293050384021,0.16946487073234656,0.06943821459688222
Sandhausen,16,-0.19663986623257387,0.23152341979427965,0.25873442175019096,0.23581217664087378,0.16946487073234656,0.06943821459688222
St. Pauli,17,-0.18063630244572199,0.23354384726066316,-0.11094432584223961,0.2169700709687893,0.16946487073234656,0.06943821459688222
Union Berlin,18,0.24965068419294464,0.2107997081495919,-0.09237651217727719,0.2183517510938281,0.16946487073234656,0.06943821459688222
