team,id,o,os,d,ds,h,hs
Breidablik,1,0.1750828486077895,0.2604542039080498,-0.1747327648046465,0.26276265513806996,0.19171445244195995,0.10175978300808504
FH,2,0.09747852028912575,0.2616208240272948,0.14438851980032216,0.278715803038096,0.19171445244195995,0.10175978300808504
Fjölnir,3,0.10525767026436825,0.2623209227579833,-0.31978549924098465,0.2526627796376016,0.19171445244195995,0.10175978300808504
Grindavík,4,0.024353924472946608,0.27111179837528043,-0.2678065798689736,0.25709621775824565,0.19171445244195995,0.10175978300808504
Keflavík,5,-0.05502055173649127,0.27345776241401637,-0.29982247828758696,0.25547019760667317,0.19171445244195995,0.10175978300808504
ÍBV,6,0.09748049678868544,0.2649337798874795,-0.26811392023718433,0.2552912308864011,0.19171445244195995,0.10175978300808504
KA,7,0.23908510996752133,0.2565874035609152,-0.10394821479127948,0.26663126926974523,0.19171445244195995,0.10175978300808504
KR,8,0.08194716705634976,0.26517413573652354,-0.05270519053870192,0.2679243384570314,0.19171445244195995,0.10175978300808504
Stjarnan,9,0.44684578029549726,0.24792429101042035,0.09152696231109966,0.2787916978290972,0.19171445244195995,0.10175978300808504
Valur,10,0.3869786076258852,0.25126076231515865,0.2835748009428369,0.2898532762368113,0.19171445244195995,0.10175978300808504
Fylkir,11,-0.16886814416079235,0.2785912469588142,-0.3953497851349482,0.24772259871484067,0.19171445244195995,0.10175978300808504
Víkingur Reykjavík,12,0.07514633290529975,0.2667803847120087,-0.23760062844103366,0.25877442349255897,0.19171445244195995,0.10175978300808504
