team,id,o,os,d,ds,h,hs
Start,1,-0.02935689155238173,0.2432631245250504,-0.18239499405711318,0.22605480000792633,0.37193513796200023,0.08275294573001055
Brann,2,0.2629849289452033,0.22425698547032127,0.12344220300777006,0.2458884525060364,0.37193513796200023,0.08275294573001055
Haugesund,3,-0.171619487327889,0.24456361861866818,0.045981371869690556,0.23741694061086183,0.37193513796200023,0.08275294573001055
Kristiansund,4,0.07076751781257622,0.2346186803905655,-0.03456371113122907,0.2385869381960105,0.37193513796200023,0.08275294573001055
Lillestrøm,5,-0.09589944112680421,0.24748690188646325,0.03841813360697399,0.24576645478081718,0.37193513796200023,0.08275294573001055
Molde,6,0.2443569928232891,0.22572512739489448,0.1024915451616497,0.24527999133696465,0.37193513796200023,0.08275294573001055
Odd,7,-0.31790603518524574,0.2583837315347543,0.05735520020477335,0.24535766805458864,0.37193513796200023,0.08275294573001055
Rosenborg,8,0.24297575132138316,0.22160216576946654,0.6413395429126661,0.2815642768005437,0.37193513796200023,0.08275294573001055
Sandefjord,9,-0.11055358722742371,0.25029550190234995,-0.30221421919409225,0.21965467373240558,0.37193513796200023,0.08275294573001055
Sarpsborg 08,10,0.16627372818106587,0.22996517164505834,0.132160975500087,0.24582440834361644,0.37193513796200023,0.08275294573001055
Bodø / Glimt,11,-0.004526262421560334,0.2393131554918895,-0.1270853031758718,0.2319492454904492,0.37193513796200023,0.08275294573001055
Stabæk,12,0.12777761916954256,0.23315754264916932,-0.20944162389971832,0.2273750853031615,0.37193513796200023,0.08275294573001055
Strømsgodset,13,0.04533152221670301,0.23256996593787985,0.0174355879699037,0.23566753630309584,0.37193513796200023,0.08275294573001055
Tromsø,14,0.14453105617185488,0.23033437933593562,-0.22799388143815574,0.22653181262737268,0.37193513796200023,0.08275294573001055
Vålerenga,15,0.2821057281156911,0.22530454479152787,-0.19753265458716418,0.2326538624154379,0.37193513796200023,0.08275294573001055
Ranheim,16,-0.2144795455089665,0.25141769765310573,-0.3818121444794306,0.21987489137222713,0.37193513796200023,0.08275294573001055
