team,id,o,os,d,ds,h,hs
Barrow Raiders,1,0.8740054546454792,0.20774344323804114,-1.4329767528239779,0.2033938582391331,0.24418244454089283,0.02913442439112192
Batley Bulldogs,2,0.8249160333759862,0.20749872507261582,-1.3098237626964682,0.203911914289983,0.24418244454089283,0.02913442439112192
Bradford Bulls RLFC,3,1.247283314513343,0.2045445127317364,-0.9695882391072342,0.205883133620509,0.24418244454089283,0.02913442439112192
Dewsbury Rams,4,0.9431545630729807,0.20705195193268996,-1.2666193435952835,0.20469223452780674,0.24418244454089283,0.02913442439112192
Featherstone Rovers,5,1.4282894728005195,0.20289270395543357,-0.8069229611340023,0.20646299552450695,0.24418244454089283,0.02913442439112192
Halifax RLFC,6,1.1038009939488982,0.2049322634435526,-1.2135093498780123,0.20469518043246915,0.24418244454089283,0.02913442439112192
Leigh Centurions,7,1.3537734115303595,0.2038524867117298,-1.0566709220439243,0.2056055897934246,0.24418244454089283,0.02913442439112192
Rochdale Hornets,8,0.5728119448690396,0.21026752774291238,-1.812029335778802,0.20164171295658456,0.24418244454089283,0.02913442439112192
Sheffield Eagles,9,1.3056033661868682,0.2037354162341279,-1.2537193351891711,0.204371736723727,0.24418244454089283,0.02913442439112192
Swinton Lions,10,1.1108678212211331,0.20529221770100575,-1.3941995604683144,0.20340116992373797,0.24418244454089283,0.02913442439112192
Toronto Wolfpack,11,1.590201333394415,0.20229996949886683,-0.5996986739011754,0.2093858743190765,0.24418244454089283,0.02913442439112192
Toulouse Olympique XIII,12,1.4729360231255675,0.20286783829048066,-0.8355840787236511,0.20682590593831732,0.24418244454089283,0.02913442439112192
Widnes Vikings,13,1.1609848423440128,0.20477227130461062,-1.0552238914706593,0.20545483073291224,0.24418244454089283,0.02913442439112192
York City Knights,14,1.078186708884279,0.20518114845542867,-0.9850982332749435,0.20616669639336624,0.24418244454089283,0.02913442439112192
