team,id,o,os,d,ds,h,hs
ACS Poli Timişoara,1,-0.3582973024951928,0.2506199347816226,-0.1713748609038881,0.225851770175987,0.11750255656614748,0.0800161169148578
Astra,2,0.24429403860661872,0.23129012418463107,0.15744841775479046,0.24130596802469795,0.11750255656614748,0.0800161169148578
Botoşani,3,-0.21791762379699733,0.24230416326829482,0.21448996025449876,0.24396944294038017,0.11750255656614748,0.0800161169148578
CFR Cluj,4,0.3370614843318876,0.22530429480781458,0.805901122363757,0.2856743207979953,0.11750255656614748,0.0800161169148578
Concordia Chiajna,5,0.06715956548220009,0.2292343587305675,-0.22641285637508393,0.22582759385327694,0.11750255656614748,0.0800161169148578
CSM Iaşi,6,0.054478274108352376,0.24369364531040727,-0.08185697513923655,0.2321901932227518,0.11750255656614748,0.0800161169148578
CS U Craiova,7,0.32563535821661976,0.2309337499002872,0.19719041172993626,0.24936772541820162,0.11750255656614748,0.0800161169148578
Daco-Getica,8,-0.7215314519975812,0.6773457124732141,-0.5684601903472846,0.5775445733506429,0.11750255656614748,0.0800161169148578
Dinamo Bucureşti,9,0.3690537717838702,0.21972543783993478,0.008806808948012595,0.23761511745892813,0.11750255656614748,0.0800161169148578
FCSB,10,0.5509225771328418,0.21951305882998265,0.5622235390366694,0.26813181575348166,0.11750255656614748,0.0800161169148578
Gaz Metan Mediaş,11,-0.3553867851972612,0.25085572873286915,-0.19070019306716376,0.2249892552114403,0.11750255656614748,0.0800161169148578
Juventus Bucureşti,12,-0.7022764507018503,0.2796819865591442,-0.4039244843321279,0.22128418504573366,0.11750255656614748,0.0800161169148578
Politehnica Iași,13,0.19995460373014154,0.6800841910464874,-0.1832899861643596,0.8122959227482416,0.11750255656614748,0.0800161169148578
Sepsi,14,-0.2434018405778011,0.2422767478898746,-0.27013978711783876,0.22201292257534808,0.11750255656614748,0.0800161169148578
Universitatea Craiova,15,0.10227386650903746,0.5501642035345519,0.28104243854030236,0.523182045672431,0.11750255656614748,0.0800161169148578
Viitorul,16,0.2310258510285511,0.23017499785782836,0.32855114189269324,0.25128837789749336,0.11750255656614748,0.0800161169148578
Voluntari,17,-0.10446210297136281,0.23694754438713425,-0.2638394749924889,0.22483614692903198,0.11750255656614748,0.0800161169148578
