team,id,o,os,d,ds,h,hs
Alloa Athletic,1,-0.53,0.3093290475617029,-0.53,0.24759890609597093,0.16715696465634716,0.09040742460112207
Ayr United,2,-0.53,0.2882933551927052,-0.53,0.2563395682856383,0.16715696465634716,0.09040742460112207
Dundee United,3,0.15003685395045238,0.2615535138094406,0.027223236484561753,0.26763964319510153,0.16715696465634716,0.09040742460112207
Dunfermline Athletic,4,0.27695984486229297,0.257967539858167,0.18874138891852596,0.27576586686306265,0.16715696465634716,0.09040742460112207
Falkirk,5,0.02069136953626441,0.2676713045053597,-0.11221573256224267,0.2622253863612748,0.16715696465634716,0.09040742460112207
Greenock Morton,6,0.04451251158389971,0.2658954578154253,0.08410648991086755,0.26842253291069185,0.16715696465634716,0.09040742460112207
Inverness CT,7,0.15785556741054957,0.26047850463824895,0.14949234099013675,0.27415151857992287,0.16715696465634716,0.09040742460112207
Partick Thistle,8,0.22,0.25946274983292705,0.22,0.2734676819752845,0.16715696465634716,0.09040742460112207
Queen of the South,9,0.30304862961651186,0.2575128812272926,-0.22183147515906937,0.26092701243385524,0.16715696465634716,0.09040742460112207
Ross County,10,0.22,0.25617327435124626,0.22,0.2734738411157265,0.16715696465634716,0.09040742460112207
