team,id,o,os,d,ds,h,hs
Athletic Club,1,-0.12768752591785096,0.22179954930590748,0.0018405222164851686,0.21553810582592162,0.29614348775792804,0.06331304408167529
Atlético Madrid,2,0.1646879792184216,0.20623685649812082,0.8439966086578486,0.26335368855654656,0.29614348775792804,0.06331304408167529
Barcelona,3,0.7355186158834045,0.18772728957334525,0.44991589456107506,0.24081380053096413,0.29614348775792804,0.06331304408167529
Celta de Vigo,4,0.22912990993386917,0.20409030482862625,-0.19754758530052136,0.20305601215999197,0.29614348775792804,0.06331304408167529
Deportivo Alavés,5,-0.14144596169970597,0.22171872449299135,0.0013752376201599337,0.2114293469157479,0.29614348775792804,0.06331304408167529
Rayo Vallecano,6,-0.19001779071125777,0.22356043742941353,-0.4138330944514408,0.1959797385809207,0.29614348775792804,0.06331304408167529
Eibar,7,-0.07022216651471218,0.21760893770768505,-8.681467765831836e-4,0.21091062072038053,0.29614348775792804,0.06331304408167529
Espanyol,8,-0.27639753389771016,0.2283717729431401,0.18591765039064384,0.22017071899828078,0.29614348775792804,0.06331304408167529
Getafe,9,-0.1110405722268049,0.21963441371136094,0.3834777085222274,0.2300398099502157,0.29614348775792804,0.06331304408167529
Girona,10,0.03585907435383901,0.21469403910163223,-0.16072957467476665,0.2041056088846553,0.29614348775792804,0.06331304408167529
Huesca,11,-0.620661030362859,0.2518794791392874,-0.3987155036828733,0.19674767858778533,0.29614348775792804,0.06331304408167529
Leganés,12,-0.31712808062439135,0.23485800963222822,-0.05789766324869914,0.21170349824683352,0.29614348775792804,0.06331304408167529
Levante,13,-0.06531410643359714,0.2162890012907895,-0.15031400710885606,0.20432173315509478,0.29614348775792804,0.06331304408167529
Real Valladolid,14,-0.6500041727077421,0.25177250572077936,-0.17933932088323581,0.20294003358448745,0.29614348775792804,0.06331304408167529
Real Betis,15,0.2640846195310616,0.20453142626457263,-0.24285925387333482,0.20551175509290587,0.29614348775792804,0.06331304408167529
Real Madrid,16,0.6803850082496858,0.1894070808247476,0.07632301439511928,0.21606912860300082,0.29614348775792804,0.06331304408167529
Real Sociedad,17,0.3644214021891987,0.20001699901341222,-0.19271573310043333,0.20549684077296002,0.29614348775792804,0.06331304408167529
Sevilla,18,0.04264266721820357,0.2126866228098067,-0.15490302539310166,0.20547079651482314,0.29614348775792804,0.06331304408167529
Valencia,19,0.33324006838627385,0.20086966983422425,0.23636969739926192,0.2248021971053947,0.29614348775792804,0.06331304408167529
Villarreal,20,0.18590661987120038,0.2060083962554849,-0.012857683622443333,0.21135041914991784,0.29614348775792804,0.06331304408167529
